generation,phase1,phase2,delay
1,19,25,2634.35
2,19,25,2634.35
3,19,25,2634.35
4,19,25,2634.35
5,19,25,2634.35
6,19,25,2634.35
7,19,25,2634.35
8,19,25,2634.35
9,20,15,2631.5
10,20,15,2631.5
11,20,15,2631.5
12,20,17,2464.37
13,20,17,2464.37
14,20,17,2464.37
15,20,17,2464.37
16,20,17,2464.37
17,20,17,2464.37
18,20,17,2464.37
19,20,17,2464.37
20,20,17,2464.37
21,20,17,2464.37
22,20,17,2464.37
23,20,17,2464.37
24,20,17,2464.37
25,20,17,2464.37
26,20,17,2464.37
27,20,17,2464.37
28,20,17,2464.37
29,20,17,2464.37
30,20,17,2464.37
31,20,17,2464.37
32,20,17,2464.37
33,20,17,2464.37
34,20,17,2464.37
35,20,17,2464.37
36,20,17,2464.37
37,20,17,2464.37
38,20,17,2464.37
39,20,17,2464.37
40,20,17,2464.37
41,20,17,2464.37
42,20,17,2464.37
43,20,17,2464.37
44,20,17,2464.37
45,20,17,2464.37
46,20,17,2464.37
47,20,17,2464.37
48,20,17,2464.37
49,20,17,2464.37
50,20,17,2464.37
51,20,17,2464.37
52,20,17,2464.37
53,20,17,2464.37
54,20,17,2464.37
55,20,17,2464.37
56,20,17,2464.37
57,20,17,2464.37
58,20,17,2464.37
59,20,17,2464.37
60,20,17,2464.37
61,20,17,2464.37
62,20,17,2464.37
63,20,17,2464.37
64,20,17,2464.37
65,20,17,2464.37
66,20,17,2464.37
67,20,17,2464.37
68,20,17,2464.37
69,20,17,2464.37
70,20,17,2464.37
71,20,17,2464.37
72,20,17,2464.37
73,20,17,2464.37
74,20,17,2464.37
75,20,17,2464.37
76,20,17,2464.37
77,20,17,2464.37
78,20,17,2464.37
79,20,17,2464.37
80,20,17,2464.37
81,20,17,2464.37
82,20,17,2464.37
83,20,17,2464.37
84,20,17,2464.37
85,20,17,2464.37
86,20,17,2464.37
87,20,17,2464.37
88,20,17,2464.37
89,20,17,2464.37
90,20,17,2464.37
91,20,17,2464.37
92,20,17,2464.37
93,20,17,2464.37
94,20,17,2464.37
95,20,17,2464.37
96,20,17,2464.37
97,20,17,2464.37
98,20,17,2464.37
99,20,17,2464.37
100,20,17,2464.37
