generation,phase1,phase2,delay
1,16,28,3184.23
2,22,27,3067.88
3,17,20,2562.67
4,17,20,2562.67
5,21,21,2683
6,19,26,2750.38
7,19,26,2750.38
8,19,25,2634.35
9,19,18,2667.33
10,20,15,2631.5
11,19,25,2634.35
12,21,25,2666.73
13,21,19,2662.46
14,18,19,2818.66
15,21,25,2666.73
16,21,25,2666.73
17,20,22,2839.08
18,20,30,2859.49
19,32,29,3188.37
20,32,30,3187.06
21,32,30,3187.06
22,32,30,3187.06
23,32,30,3187.06
24,32,19,3121.82
25,21,20,2794.66
26,21,20,2794.66
27,22,18,2644.9
28,22,22,2734.73
29,21,18,2495.36
30,21,17,2789.73
31,22,17,2673.47
32,22,17,2673.47
33,22,15,2608.91
34,22,15,2608.91
35,20,19,2503.68
36,22,15,2608.91
37,22,15,2608.91
38,22,25,2816.11
39,22,24,2771.69
40,22,24,2771.69
41,20,17,2464.37
42,19,26,2750.38
43,21,16,2870.73
44,19,24,2763.08
45,20,24,2853.93
46,17,24,3157.3
47,17,16,3241.42
48,20,20,2562.22
49,20,29,2803.5
50,20,29,2803.5
51,19,26,2750.38
52,20,25,2690
53,22,16,2592.7
54,22,19,2759.09
55,18,20,2829.71
56,22,21,2689.94
57,22,18,2644.9
58,22,22,2734.73
59,19,21,2752.15
60,19,25,2634.35
61,20,20,2562.22
62,20,20,2562.22
63,20,20,2562.22
64,20,20,2562.22
65,20,25,2690
66,19,25,2634.35
67,22,18,2644.9
68,21,18,2495.36
69,21,24,2657.38
70,19,18,2667.33
71,22,16,2592.7
72,22,18,2644.9
73,19,25,2634.35
74,22,18,2644.9
75,22,18,2644.9
76,17,20,2562.67
77,22,18,2644.9
78,19,18,2667.33
79,17,19,2587.73
80,22,21,2689.94
81,22,15,2608.91
82,22,18,2644.9
83,22,16,2592.7
84,22,16,2592.7
85,22,16,2592.7
86,21,23,2604.34
87,21,23,2604.34
88,21,23,2604.34
89,22,23,2705.08
90,20,21,2763.14
91,22,24,2771.69
92,21,23,2604.34
93,21,26,2631.98
94,22,24,2771.69
95,22,18,2644.9
96,19,18,2667.33
97,22,21,2689.94
98,17,21,2696.24
99,22,21,2689.94
100,20,21,2763.14
