 Retrying in 1 seconds
成功獲取交通號誌 '1253678773' 的相位總數: 4
時間: 10s | 獎勵: 0.00 | Epsilon: 0.951
時間: 20s | 獎勵: 0.00 | Epsilon: 0.905
時間: 30s | 獎勵: 0.00 | Epsilon: 0.860
時間: 40s | 獎勵: 0.00 | Epsilon: 0.818
時間: 50s | 獎勵: 0.00 | Epsilon: 0.778
時間: 60s | 獎勵: 0.00 | Epsilon: 0.740
時間: 70s | 獎勵: -1.00 | Epsilon: 0.704
時間: 80s | 獎勵: -1.00 | Epsilon: 0.670
時間: 90s | 獎勵: 0.00 | Epsilon: 0.637
時間: 100s | 獎勵: 0.00 | Epsilon: 0.606
時間: 110s | 獎勵: 0.00 | Epsilon: 0.576
時間: 120s | 獎勵: 7.00 | Epsilon: 0.548
時間: 130s | 獎勵: -1.00 | Epsilon: 0.521
時間: 140s | 獎勵: -1.00 | Epsilon: 0.496
時間: 150s | 獎勵: -1.00 | Epsilon: 0.471
時間: 160s | 獎勵: -1.00 | Epsilon: 0.448
時間: 170s | 獎勵: 0.00 | Epsilon: 0.427
時間: 180s | 獎勵: 14.00 | Epsilon: 0.406
時間: 190s | 獎勵: 0.00 | Epsilon: 0.386
時間: 200s | 獎勵: -1.00 | Epsilon: 0.367
時間: 210s | 獎勵: 0.00 | Epsilon: 0.349
時間: 220s | 獎勵: 0.00 | Epsilon: 0.332
時間: 230s | 獎勵: -1.00 | Epsilon: 0.316
時間: 240s | 獎勵: -1.00 | Epsilon: 0.300
時間: 250s | 獎勵: 8.00 | Epsilon: 0.286
時間: 260s | 獎勵: -2.00 | Epsilon: 0.272
時間: 270s | 獎勵: -1.00 | Epsilon: 0.258
時間: 280s | 獎勵: 0.00 | Epsilon: 0.246
時間: 290s | 獎勵: 0.00 | Epsilon: 0.234
時間: 300s | 獎勵: 0.00 | Epsilon: 0.222
時間: 310s | 獎勵: 0.00 | Epsilon: 0.211
時間: 320s | 獎勵: 0.00 | Epsilon: 0.201
